host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_encoded
1,1,1.0,0,1.0,1,1,0,1,145.0,1,0,16.0,19.0,1,1.0,3,4.0,2.0,30,2.0,1125.0,1,35,50,290,28.0,3,4.9,4.92,4.94,4.98,4.96,4.89,4.85,2,4.13,42
0,1,1.0,1,1.0,1,1,1,1,99.0,1,0,1.0,1.0,1,2.0,3,4.0,30.0,125,30.0,125.0,1,47,77,243,2.0,0,4.85,4.85,4.9,4.9,4.85,4.9,4.9,1,0.22,49
1,1,1.0,1,1.0,1,1,0,1,179.0,1,0,1.0,2.0,1,1.0,2,4.0,1.0,1125,1.0,1125.0,1,55,85,353,52.0,0,4.87,4.8,4.9,4.94,4.94,4.94,4.79,1,4.01,63
1,0,0.99,1,,1,1,0,1,65.0,1,1,6.1,8.6,0,1.0,1,2.0,30.0,365,30.0,1125.0,0,16,46,321,2.0,0,4.9,4.9,4.9,4.9,5.0,4.9,4.9,11,0.17,325
0,0,0.24,0,1.0,1,1,1,1,140.0,1,0,3.0,4.0,1,1.0,2,2.0,1.0,7,1.0,1125.0,1,35,65,65,15.6,5,4.76,4.87,4.8,4.96,4.91,4.9,4.68,3,1.8,395
1,1,0.99,0,1.0,1,1,0,0,55.0,1,1,5.0,5.0,0,1.0,1,1.0,1.0,1125,1.0,1125.0,1,53,80,316,29.0,0,4.79,4.82,4.76,4.85,4.9,4.93,4.78,5,1.23,350
1,1,0.98,1,1.0,1,1,0,0,70.0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,21,1.0,1125.0,1,39,69,69,15.6,1,4.9,4.84,4.78,4.89,4.78,4.84,4.76,1,1.8,387
1,1,1.0,1,1.0,1,1,0,1,165.0,1,1,5.0,5.0,1,2.0,3,3.0,2.0,1125,2.4,1125.0,0,0,0,187,3.0,0,4.91,4.89,4.98,4.96,4.93,4.9,4.83,5,0.56,449
1,1,0.99,1,,1,0,0,1,81.0,1,1,1.0,2.0,0,1.0,1,2.0,2.0,730,2.0,730.0,0,27,43,128,15.6,1,4.87,4.91,4.93,4.96,4.88,4.96,4.81,1,1.8,535
0,0,0.95,0,1.0,1,1,0,1,101.0,1,0,1.0,1.0,0,1.0,1,3.0,1.0,1125,1.0,1125.0,0,40,63,146,46.0,4,4.98,4.98,4.98,4.97,4.96,4.97,4.88,1,3.92,19
